,loan_amnt,int_rate,installment,emp_length,annual_inc,loan_status,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,pub_rec_bankruptcies,home_ownership_ANY,home_ownership_MORTGAGE,home_ownership_OWN,home_ownership_RENT,verification_status_Not Verified,verification_status_Source Verified,verification_status_Verified,term_ 36 months,term_ 60 months,purpose_car,purpose_credit_card,purpose_debt_consolidation,purpose_home_improvement,purpose_house,purpose_major_purchase,purpose_medical,purpose_moving,purpose_other,purpose_renewable_energy,purpose_small_business,purpose_vacation
64,25200.0,15.57,607.08,10,65000.0,1,15.18,0.0,0.0,4.0,0.0,17271.0,78.5,16.0,0.0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
87,17500.0,17.19,625.58,5,82000.0,1,15.7,1.0,0.0,12.0,0.0,15296.0,83.6,27.0,0.0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
91,10000.0,13.9,341.3,10,90000.0,1,7.92,0.0,1.0,5.0,0.0,9898.0,58.6,6.0,0.0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
105,13750.0,28.8,574.71,0,17808.0,1,30.12,0.0,2.0,6.0,0.0,16814.0,87.6,8.0,0.0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
133,10000.0,12.4,224.48,0,38000.0,1,38.66,0.0,0.0,7.0,0.0,8334.0,49.0,18.0,0.0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
137,15000.0,17.97,380.66,9,45000.0,1,19.07,0.0,0.0,8.0,0.0,10759.0,48.0,10.0,0.0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
147,8000.0,16.4,282.84,10,90000.0,1,14.72,0.0,0.0,9.0,0.0,19357.0,75.9,25.0,0.0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
183,35000.0,13.08,797.8,0,125890.0,1,30.48,0.0,0.0,14.0,0.0,32363.0,66.7,29.0,0.0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
206,12000.0,8.81,380.54,10,50000.0,1,18.48,0.0,1.0,12.0,0.0,4169.0,10.2,23.0,0.0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
233,2500.0,15.57,87.37,10,50000.0,1,38.67,0.0,0.0,7.0,0.0,7674.0,90.3,9.0,0.0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
246,40000.0,12.4,897.89,4,150000.0,1,11.99,0.0,0.0,6.0,0.0,28928.0,0.1,32.0,0.0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
252,2400.0,7.56,74.73,0,45000.0,1,8.0,0.0,0.0,5.0,0.0,1086.0,3.5,31.0,0.0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
335,26100.0,20.0,691.5,10,68000.0,1,21.8,0.0,0.0,22.0,0.0,36170.0,58.5,27.0,0.0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
342,24300.0,7.02,750.54,0,116800.0,1,18.74,0.0,0.0,5.0,0.0,2047.0,23.3,19.0,0.0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
397,10000.0,11.71,330.76,4,54000.0,1,21.49,0.0,2.0,18.0,0.0,8961.0,10.3,19.0,0.0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
514,31000.0,12.4,695.87,10,105000.0,1,18.82,2.0,0.0,11.0,0.0,9035.0,23.4,51.0,0.0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
564,18000.0,13.08,607.19,2,54000.0,1,20.24,0.0,0.0,8.0,0.0,17902.0,79.9,11.0,0.0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
577,10000.0,6.46,306.31,8,59000.0,1,2.64,0.0,0.0,7.0,0.0,4000.0,14.1,22.0,0.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
600,30000.0,11.02,652.58,10,68000.0,1,14.6,0.0,0.0,18.0,1.0,55288.0,1.4,34.0,1.0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
634,16000.0,17.19,399.28,10,72500.0,1,17.0,0.0,0.0,8.0,0.0,8081.0,49.9,39.0,0.0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
711,24000.0,13.08,547.06,10,82500.0,1,23.39,0.0,0.0,11.0,1.0,19968.0,81.5,18.0,1.0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
847,15000.0,7.56,467.01,0,115000.0,1,27.84,0.0,2.0,14.0,0.0,8004.0,16.2,29.0,0.0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
868,8400.0,20.0,312.18,6,75000.0,1,25.07,0.0,1.0,11.0,0.0,35526.0,57.9,24.0,0.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
878,13000.0,20.0,483.13,1,30000.0,1,29.68,0.0,0.0,8.0,0.0,17250.0,77.0,10.0,0.0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
900,20000.0,15.57,698.91,0,46620.0,1,14.65,0.0,0.0,7.0,0.0,0.0,0.0,31.0,0.0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
914,3600.0,16.4,127.28,0,46000.0,1,13.87,0.0,0.0,7.0,0.0,726.0,12.5,17.0,0.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
958,14000.0,20.0,520.3,10,170000.0,1,11.22,7.0,2.0,18.0,0.0,13747.0,53.3,48.0,0.0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
